id	line	title	desc
1	1	Premiums Cards & Envelopes	PREM
2	1	Linen Cards & Envelopes	LINE
3	1	Mohawk Cards & Envelopes	MOHA
4	1	Deckled Cards & Envelopes	DECK
5	1	Basis Envelopes	BASI
6	1	Brown Bag Envelopes	BROW
7	1	Astrobrights Envelopes	ASTR
8	1	Foil-lined Envelopes	FOIL
9	1	Leather Metallic Envelopes	EALE
10	1	Brushed Metallic Envelopes	EABR
11	1	Stardream Envelopes	STAR
12	1	Notables Envelopes	NOTA
13	1	Vellum Envelopes	VELL
14	2	Bags: Adhesive Seal	BAGA
15	2	Bags: Open-ended	BAGO
16	2	Bags: Hanging	BAGH
17	2	Bio-degradable Bags	BAGB
18	2	Card Jackets	CJAC
19	2	Soft-folding Boxes	PBOX
20	2	Hanging Boxes	HBOX
21	2	Vinyl Folders	VINY
22	3	Organza Ribbon	RIBB
23	3	Hang Tabs	HTAB
24	3	Stretch Loops	LOOP
25	3	Stickers	STIC
26	4	Shipping Boxes for Cards	XXXXX
27	4	Grab Bags	GRAB
28	4	Plastic Gift Bags	GIFT
