Item	Cat	Label	Type	InchWidth	InchHeight	InchDepth	MetricWidth	MetricHeight	MetricDepth	Density	Color	Material	Description	PieceWeight	UnitQty	Price	Q1	D1	Q2	D2	Q3	D3	Q4	D4	Q5	D5	Q6	D6
E1B0	PREM	FOR	Business Cards	3 5/8	2 1/8		92	54		70# Text	White	10% Recycled Content	Premium Paper Envelopes	0.003	50	0.093	100	5	150	15	200	25	250	35				
E150	PREM	FOR	Quarter of a 5X7	3 11/16	2 11/16		94	68		70# Text	White	10% Recycled Content	Premium Paper Envelopes	0.0038	50	0.07	100	5	150	15	200	25	250	35				
E1C0	PREM	SIZE	#10	4 1/8	9 1/2		105	241		60# Text	White	10% Recycled Content	Premium Paper Envelopes	0.015	50	0.268	100	5	150	15	200	25	250	35				
E1C1	PREM	SIZE	#10	4 1/8	9 1/2		105	241		60# Text	Natural	10% Recycled Content	Premium Paper Envelopes	0.015	50	0.268	100	5	150	15	200	25	250	35				
P130	PREM	FOR	4Bar	4 7/8	3 1/2		124	89		65# Cover	White	Paper	Premium Blank Cards (pre-scored)	0.0092	50	0.075	100	5	150	15	200	25	250	35				
N130	PREM	FOR	4Bar	4 7/8	3 1/2		124	89		65# Cover	White	Paper	Premium Blank Cards (pre-scored) with Panel (embossed frame is 2 3/4" x 4 1/8")	0.0093	50	0.078	100	5	150	15	200	25	250	35				
E130	PREM	SIZE	4Bar	5 1/8	3 5/8		130	92		70# Text	White	10% Recycled Content	Premium Paper Envelopes	0.0075	50	0.059	100	5	150	15	200	25	250	35				
P131	PREM	FOR	4Bar	4 7/8	3 1/2		124	89		65# Cover	Natural	Paper	Premium Blank Cards (pre-scored)	0.0092	50	0.075	100	5	150	15	200	25	250	35				
N131	PREM	FOR	4Bar	4 7/8	3 1/2		124	89		65# Cover	Natural	Paper	Premium Blank Cards (pre-scored) with Panel (embossed frame is 2 3/4" x 4 1/8")	0.0093	50	0.08	100	5	150	15	200	25	250	35				
E131	PREM	SIZE	4Bar	5 1/8	3 5/8		130	92		70# Text	Natural	10% Recycled Content	Premium Paper Envelopes	0.0076	50	0.062	100	5	150	15	200	25	250	35				
